District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
9,775,1971,31.9,15.8,3.5,74.25,0.35,0.975,7.625833333,4,275,0.35483871
10,6995,1971,28.35,13.3,19.75,73.75,0.375,1.2,6.888571429,19,1650,0.235882773
11,730,1971,28.825,14.625,59.75,75.75,0.475,1.125,7.434482759,6,180,0.246575342
12,60280,1971,28.325,12.6,4.25,68.75,1.1,1.4,7.249137931,14,22550,0.374087591
14,44135,1971,30.425,13.5,27.5,73.5,0.9,1.225,7.532142857,20,16125,0.365356293
16,15390,1971,29,12.45,23.75,83.75,0.625,1.2,7.173571429,34,5920,0.384665367
17,555,1971,28.775,13.95,33.25,70.5,1.25,2.075,8.725,35,206,0.371171171
2,7010,1972,30.7,14.15,18.75,70.5,0.55,0.9,9.475,20,3410,0.486447932
3,7,1972,32.15,16.75,3.25,73.25,1.425,1.575,9.075,6,2,0.285714286
4,25650,1972,32.375,14.9,10.25,69.25,0.5,1.175,7.4,10,12094,0.471500975
5,14650,1972,31.7,15.125,5.25,66.25,0.75,1.475,8.85,9,4832,0.329829352
6,8480,1972,30.425,12.4,1.25,72.25,0.35,0.65,6.724,37,2819,0.332429245
7,49935,1972,30.1,13.975,2.25,72.25,0.6,1.35,7.476724138,9,9692,0.19409232
8,10095,1972,32.775,13.575,2.75,64,1.2,1.25,8.475,7,3040,0.301139178
9,380,1972,29.375,15.625,8.75,74.25,0.65,1.25,7.625833333,4,95,0.25
10,6490,1972,30.325,14.6,10,73.75,0.225,1.175,6.888571429,19,1495,0.230354391
11,465,1972,33.075,15.7,4.5,78.75,0.425,0.975,7.434482759,6,111,0.238709677
12,61700,1972,31.675,12.85,16.75,68.75,1.55,1.425,7.249137931,14,22881,0.370842788
14,46830,1972,32.75,13.7,7,67.75,0.55,1.25,7.532142857,20,13331,0.284667948
16,14800,1972,31.5,13.525,4,87.25,0.45,1.25,7.173571429,34,5421,0.366283784
17,565,1972,29.275,14.5,5.75,71.75,1.1,1.625,9.475,35,209,0.369911504
2,7375,1973,29.45,14.075,13.5,73.75,0.775,0.925,9.525,20,3633,0.492610169
3,0,1973,30.175,16.05,76.5,76.25,1.525,1.725,8.725,6,0,#DIV/0!
4,28465,1973,29.6,14.625,40,70.25,0.55,1.125,7.4,10,15139,0.531846127
5,13550,1973,28.475,15.1,39.75,73,0.675,1.85,9.35,9,4248,0.313505535
6,15390,1973,28,12.75,2.25,72.25,0.5,0.875,6.724,37,5501,0.357439896
7,42750,1973,29.45,13.075,26.25,74,0.675,1.125,7.476724138,9,11572,0.270690058
8,10905,1973,30.15,13.15,35.5,71.75,0.9,1.275,8.15,7,3439,0.315359927
9,330,1973,30.35,15.55,15,70,0.475,1,7.625833333,4,81,0.245454545
10,7405,1973,29.05,14.3,3.75,73.75,0.375,1.05,6.888571429,19,1632,0.220391627
11,365,1973,29.475,15.625,69.5,79.25,0.375,0.925,7.434482759,6,96,0.263013699
12,62580,1973,30.125,12.7,21.25,70.25,2,1.225,7.249137931,14,22866,0.365388303
13,0,1973,29.275,16.8,22.01923077,78.02564103,1.025,2.325,7.004310345,3,0,#DIV/0!
14,48500,1973,30.175,14.225,6,69.5,0.6,1.075,7.532142857,20,13215,0.272474227
16,14940,1973,27.525,13.15,4,82.25,0.775,1.375,7.173571429,34,5587,0.373962517
17,655,1973,29.125,14.2,5.25,71,0.875,1.2,9.45,35,244,0.372519084
1,165,1974,29.75,14.7,5,78.25,0.55,1.175,9.625,4,48,0.290909091
2,8080,1974,31.275,14.1,3.25,69.25,0.825,1.1,9.45,20,3862,0.477970297
3,0,1974,29.65,16.775,17,74.25,1.825,1.625,8.175,6,0,#DIV/0!
4,38965,1974,29.8,15.75,27,66,1.15,1.2,7.4,10,19075,0.489541897
5,13850,1974,29.35,15.025,13,69.75,0.5,1.65,9.375,9,4080,0.294584838
6,9455,1974,28,12.75,2.25,72.25,0.5,0.875,6.724,37,3058,0.323426758
7,45275,1974,29.2,12.95,4.75,76.25,0.875,1.2,7.476724138,9,13010,0.287355052
8,12165,1974,31.2,13.425,4,68,1.025,1.375,8.275,7,4112,0.338018907
9,804,1974,29.475,15.9,4,70.25,0.725,1.2,7.625833333,4,240,0.298507463
10,7960,1974,29.025,14.3,3,73.75,0.35,1.35,6.888571429,19,1604,0.201507538
11,525,1974,29.25,17.05,18.5,74.25,0.5,1.225,7.434482759,6,147,0.28
12,63845,1974,30.5,12.4,3,67.5,1.375,1.4,7.249137931,14,23513,0.368282559
13,0,1974,30.25,15.65,11.39102564,73.33974359,0.9,1.475,7.004310345,3,0,#DIV/0!
14,52400,1974,30.125,14.35,3.5,66.5,0.25,1.025,7.532142857,20,14656,0.279694656
16,15100,1974,27.525,13.15,4.25,84.5,0.575,1.5,7.173571429,34,5648,0.374039735
17,620,1974,29.525,14.675,9.75,73.25,1.5,1.625,9.3,35,214,0.34516129
1,500,1975,30.35,13.7,16,74.75,0.325,1.15,8.075,4,211,0.422
2,14780,1975,30.1,13.65,3,69.75,0.825,0.825,9.7,20,9771,0.661096076
3,230,1975,32.175,15.675,37.75,76.25,1.325,1.375,8.275,6,149,0.647826087
4,55500,1975,29.975,15.025,34.5,64.25,0.95,1.425,7.4,10,38640,0.696216216
5,12980,1975,29.75,14.65,8,70,0.4,1.475,9.25,9,5367,0.41348228
6,22700,1975,28,12.775,2.25,72.25,0.475,0.875,6.724,37,15484,0.682114537
7,33880,1975,30.575,14.5,9,73.25,0.975,1.15,7.476724138,9,11789,0.3479634
8,21092,1975,32.6,13.25,8.75,70.25,1.175,1.15,7.95,7,16014,0.759245211
9,1384,1975,30.75,16.1,22.5,70,0.95,1.075,7.625833333,4,888,0.641618497
10,8465,1975,30.175,14.325,3.25,73.75,0.075,1.3,6.888571429,19,4948,0.584524513
11,5430,1975,28.55,15.6,30.5,74.75,0.425,1,7.434482759,6,3192,0.587845304
12,59000,1975,30.3,12.525,19.25,68,1.175,1.075,7.249137931,14,27132,0.459864407
13,0,1975,30.15,15.675,31.25,74.25,0.55,1.4,7.004310345,3,0,#DIV/0!
14,61100,1975,29.725,14,2.75,66.5,0.325,0.725,7.532142857,20,25110,0.41096563
16,14265,1975,27.525,13.15,0,91.25,0.425,1.125,7.173571429,34,7029,0.492744479
17,2000,1975,28.925,14.825,26.75,72,0.775,1.575,9.55,35,691,0.3455
1,105,1976,30.525,14.3,23.25,77,0.425,1.2,8.65,4,54,0.514285714
2,22610,1976,31.475,14.15,1.75,72,0.675,1.1,9.35,20,19813,0.876293675
3,570,1976,30.3,16.05,83.25,74.5,1.375,1.35,8.325,6,267,0.468421053
4,66895,1976,30,14.475,22,64,1.725,1.55,7.4,10,50578,0.756080425
5,19220,1976,30.2,14.7,18.5,69.25,0.475,1.55,8.125,9,10734,0.558480749
6,17900,1976,28,12.75,2.25,72.25,0.5,0.875,6.724,37,12270,0.68547486
7,33475,1976,30.55,14.775,5.5,73.5,0.45,1.175,7.476724138,9,12055,0.360119492
8,25610,1976,31.925,13.225,7.5,67.25,0.875,1.375,7.8,7,20111,0.785279188
9,2245,1976,31.8,16.45,4.25,69.5,0.65,1.375,7.625833333,4,1917,0.85389755
10,8355,1976,28.95,14.2,33.75,71.25,0.975,1.3,6.888571429,19,5330,0.637941352
11,1800,1976,28.4,15.825,33,76.5,0.375,1.1,7.434482759,6,992,0.551111111
12,42000,1976,30.775,12.475,0.75,66.25,0.55,1.3,7.249137931,14,29059,0.691880952
13,0,1976,29.775,15.525,16,76.25,1,1.875,7.004310345,3,0,#DIV/0!
14,60925,1976,31.65,14.15,6,67.5,0.275,0.975,7.532142857,20,27669,0.454148543
16,14000,1976,27.525,13.15,0.25,84.75,0.45,1.4,7.173571429,34,6960,0.497142857
17,5270,1976,29,14.575,26,73.5,0.75,1.6,8.3,35,2084,0.39544592
1,190,1977,30.075,14.625,13.25,74.75,0.25,1.325,8.25,4,107,0.563157895
2,31085,1977,33.125,14.2,18.75,72.25,0.7,1.15,8.95,20,27802,0.89438636
3,65,1977,31.475,15.875,8.75,71.5,1.625,1.45,8.725,6,36,0.553846154
4,63455,1977,28.95,15.075,13,75.5,0.8,1.25,7.4,10,47438,0.747584903
5,22300,1977,32.125,14.525,13.5,70,0.425,1.725,8.275,9,14082,0.631479821
6,31130,1977,28,12.75,2.25,72.25,0.5,0.875,6.724,37,25097,0.806199807
7,46495,1977,29.875,15.175,6.25,71.5,0.35,1.275,7.476724138,9,24560,0.528228842
8,34940,1977,30.325,13.975,20.75,72.75,0.825,1.675,8.375,7,23379,0.669118489
9,4270,1977,30.575,16.1,10.75,70.75,0.475,1.325,7.625833333,4,4286,1.003747073
10,10335,1977,29.15,13.7,13.75,70.5,1.4,1.8,6.888571429,19,6864,0.664150943
11,560,1977,28.4,15.825,14.25,76.5,0.375,1.1,7.434482759,6,210,0.375
12,48000,1977,31.775,13.25,17,68.5,0.725,1.5,7.249137931,14,34932,0.72775
13,0,1977,31.475,15.8,11.75,73,0.775,2.275,7.004310345,3,0,#DIV/0!
14,59600,1977,30.575,14.9,22.5,70,0.65,1.525,7.532142857,20,32505,0.545385906
16,25985,1977,28.925,13.425,4.25,84.5,0.425,1.425,7.173571429,34,15712,0.604656533
17,6000,1977,29.875,14.175,14.5,72.5,1.075,1.55,8.375,35,2131,0.355166667
1,105,1978,31.5,14.4,4.5,74.75,0.375,0.925,8.575,4,54,0.514285714
2,22610,1978,30.075,14.35,8,71.25,0.775,1.3,8.65,20,19813,0.876293675
3,570,1978,31.125,16.55,0.75,69.75,1.8,1.125,9.1,6,267,0.468421053
4,66895,1978,29.825,14.65,12.5,73.25,0.7,0.975,7.4,10,50578,0.756080425
5,19220,1978,30.525,14.5,4,67.5,0.5,1.425,8.375,9,10734,0.558480749
6,17900,1978,28,12.75,2.25,72.25,0.5,0.875,6.724,37,12270,0.68547486
7,33475,1978,30.15,15.375,9,72,0.25,0.95,7.476724138,9,12055,0.360119492
8,25610,1978,29.9,13.975,25,72,0.875,1.625,8,7,20111,0.785279188
9,2245,1978,30.925,16.85,9.5,68.25,0.4,0.875,7.625833333,4,1917,0.85389755
10,8355,1978,30.725,13.975,0.5,71,0.6,1.15,7.04,19,5330,0.637941352
11,1800,1978,29.925,15.5,13,72.25,0.4,1.225,7.434482759,6,992,0.551111111
12,42000,1978,29.6,13.1,12.25,68.25,1.025,1.45,7.249137931,14,29059,0.691880952
13,0,1978,31,16.375,26.5,74.25,0.775,1,7.004310345,3,0,#DIV/0!
14,60925,1978,29.4,14.3,21.5,71.25,1.2,1,7.635,20,27669,0.454148543
16,14000,1978,26.925,13.325,5.75,69,0.5,1.05,7.349285714,34,6960,0.497142857
