District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
14,105800,1976,36.96666667,24.23333333,159.6666667,68,0.7,3.433333333,6.985714286,20,104344,0.986238185
16,31040,1976,33.3,22.83333333,248.6666667,88,0.8,4,6.233333333,34,21186,0.68253866
17,300000,1976,34,22.53333333,563,82.33333333,0.866666667,5.466666667,6.2,35,165208,0.550693333
2,54570,1977,34.5,24.13333333,175.6666667,75.33333333,1.666666667,4.2,6.3,20,60858,1.115228147
3,219450,1977,33.13333333,23.06666667,373,85,2.533333333,5.533333333,6.3,6,230013,1.048133971
4,208600,1977,33.63333333,23.43333333,389.3333333,80.33333333,4.566666667,5.533333333,6.435353535,10,206346,0.989194631
5,238700,1977,33.93333333,23.5,296,84,2.133333333,5.733333333,6.7,9,236439,0.990527859
6,14680,1977,33.9,23.36666667,181.6666667,70.66666667,1.033333333,3.7,6.5,37,15388,1.048228883
7,51345,1977,36.2,23.4,333.3333333,83,1.166666667,4.833333333,6.687356322,9,56366,1.097789463
8,23550,1977,36.6,23.93333333,229,80.33333333,3.566666667,5,6.166666667,7,29321,1.245053079
9,44885,1977,36.23333333,24.83333333,260.3333333,79,1.966666667,5.066666667,6.862222222,4,35588,0.792870669
10,174235,1977,32.86666667,23.66666667,616.6666667,83,4,5.7,5.72,19,139381,0.799959824
11,157430,1977,32.53333333,24.6,348.6666667,81,1.633333333,4.366666667,6.063218391,6,152813,0.97067268
12,38580,1977,37.3,22.83333333,565.3333333,77,2.4,5.166666667,6.871264368,14,40493,1.049585277
13,27450,1977,33.8,24.73333333,263.3333333,81,2.633333333,5.166666667,5.491954023,3,27442,0.999708561
14,104650,1977,37.13333333,22.9,337.6666667,80.66666667,1.533333333,4.7,6.985714286,20,105816,1.011141902
16,58760,1977,33.3,22.83333333,336.6666667,78.66666667,0.833333333,5,6.233333333,34,50998,0.867903336
17,634000,1977,32.93333333,21.83333333,644.3333333,85,1.066666667,6.533333333,4.133333333,35,474131,0.747840694
2,55670,1978,37.63333333,23.33333333,394.3333333,75.33333333,1.7,4.466666667,6.966666667,20,67637,1.214963176
3,223760,1978,34.73333333,23.3,409.3333333,81.33333333,4.533333333,5.366666667,6.566666667,6,238633,1.066468538
4,241330,1978,32.86666667,24.2,275.3333333,81.66666667,2.466666667,4.5,6.435353535,10,218769,0.906513902
5,254850,1978,35.26666667,23.8,392.3333333,81.66666667,1.866666667,5.3,5.9,9,249811,0.980227585
6,12845,1978,33.9,23.36666667,181.6666667,70.66666667,1.033333333,3.7,6.5,37,11926,0.928454652
7,55530,1978,35.53333333,23.5,216,80.66666667,0.666666667,4.1,6.687356322,9,62693,1.128993337
8,17190,1978,35.3,24.63333333,164,75.66666667,3.233333333,4.433333333,7.066666667,7,19907,1.15805701
9,44510,1978,36.23333333,24.9,247.6666667,82.66666667,1.366666667,4.166666667,6.862222222,4,33862,0.76077286
10,106840,1978,35.5,23.03333333,344.3333333,82,2.6,4.9,5.72,19,77343,0.723914264
11,141545,1978,34.53333333,23.26666667,348.6666667,81,2.033333333,5.333333333,6.063218391,6,131918,0.931986294
12,37400,1978,38.53333333,23.53333333,235.3333333,73,3.1,4.7,6.871264368,14,27293,0.729759358
13,31770,1978,35.13333333,25.46666667,205.6666667,78.33333333,2.9,5,5.491954023,3,26973,0.849008499
14,92665,1978,36.53333333,23.76666667,229.6666667,76,2.5,4.1,6.985714286,20,77497,0.836313603
16,80085,1978,35.3,23.63333333,277.6666667,77,1.2,4.333333333,6.233333333,34,58163,0.726265843
17,558550,1978,35.46666667,22.43333333,620,80.66666667,1.133333333,6.066666667,5.533333333,35,301928,0.540556799
2,57445,1979,41.4,24.83333333,92.66666667,65.33333333,1.666666667,2.933333333,8.633333333,20,70569,1.228462007
3,240500,1979,35.36666667,25.2,303,78.66666667,4.9,3.866666667,7.9,6,295656,1.229338877
4,240530,1979,36.03333333,24.93333333,73,76.66666667,3.333333333,2.633333333,6.435353535,10,269542,1.120616971
5,255180,1979,37.33333333,25.43333333,129.6666667,73.66666667,1.833333333,4.066666667,7,9,285999,1.120773572
6,17420,1979,33.9,23.36666667,181.6666667,70.66666667,1.033333333,3.7,6.5,37,20343,1.167795637
7,58250,1979,36.83333333,25.26666667,167.6666667,73.66666667,1.066666667,4.4,6.687356322,9,67042,1.150935622
8,20815,1979,36.93333333,25.16666667,79.33333333,66.66666667,3.066666667,3.566666667,7.266666667,7,19251,0.924861878
9,53360,1979,36.86666667,25.8,155,76,1.133333333,2.833333333,6.862222222,4,42642,0.799137931
10,89055,1979,37.5,24.53333333,141.3333333,74.66666667,2.366666667,3.7,8.366666667,19,77216,0.867059682
11,144480,1979,36.33333333,25.26666667,223,75,1.3,4.466666667,6.063218391,6,228591,1.582163621
12,36880,1979,42.23333333,24.86666667,131.6666667,58,3.433333333,3.4,6.871264368,14,31492,0.853904555
13,27290,1979,35.03333333,25,490,78.66666667,2.9,4.833333333,5.491954023,3,31542,1.155807988
14,95605,1979,37.63333333,25,31.33333333,60.66666667,2.4,2.5,9.033333333,20,92820,0.970869724
16,79310,1979,38,23.46666667,154.6666667,66.33333333,1.2,2.533333333,6.433333333,34,87093,1.098133905
17,645000,1979,36.36666667,23.3,468,77,3.033333333,4.6,6.866666667,35,507784,0.787262016
1,104110,1980,35.8,25.1,173.3333333,81.66666667,1.8,4.6,6.866666667,4,95603,0.918288349
2,58995,1980,37.26666667,24.33333333,219.3333333,74.66666667,1.733333333,4.233333333,7.4,20,77090,1.306720909
3,244555,1980,34.06666667,24.36666667,306.3333333,78.66666667,5.766666667,4.533333333,6.7,6,294090,1.202551573
4,250375,1980,35,24.2,235.3333333,80,2.866666667,3.7,6.435353535,10,266163,1.063057414
5,260075,1980,36.43333333,24.7,294.6666667,77.66666667,2.333333333,4.5,6.733333333,9,323362,1.243341344
6,18155,1980,34,23.4,181.6666667,70.66666667,1.033333333,3.7,6.5,37,22790,1.25530157
7,68540,1980,35.86666667,24.16666667,278.6666667,80,1.666666667,3.733333333,6.687356322,9,61205,0.8929822
8,31005,1980,37,25,137,74,5.4,4.6,6.666666667,7,28610,0.922754394
9,53885,1980,36.16666667,25.96666667,197.6666667,84.33333333,1.433333333,3.9,6.862222222,4,43149,0.80076088
10,113070,1980,34.86666667,23.8,365.3333333,72,3.266666667,5.5,6.6,19,77960,0.68948439
11,121820,1980,35.06666667,25.06666667,288.6666667,79.33333333,2.433333333,4.8,6.063218391,6,125001,1.026112297
12,41655,1980,39.46666667,24.36666667,216.6666667,70.66666667,3.666666667,4.266666667,6.871264368,14,45018,1.080734606
